text,sender_id,receiver_ids,timestamp
That was very celever,93a797d357eab4d4457eca0bec9a154c19eb7e8958cc8bef4418699f,"['93a797d357eab4d4457eca0bec9a154c19eb7e8958cc8bef4418699f', '2f23d622b2d31c7c50e173f49cc33843a69a9cfee1307971b4187cdd', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046']",2020-07-09 05:33:00
I feel like 22,6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-06-02 05:59:00
"I prefer writing, but where do you get your blooks?",958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba,"['958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba', 'f6c43c243da7289c9ecdbf36cabf9c14d55afe6ef8904d9e6ec56945']",2020-04-04 12:48:00
Even for the big station? The attack needs to be huge,31da1a042dc910775ed8b487afbdafd929a7afdeaadc660cb963bd26,"['b51d18b551043c1f145f22dbde6f8531faeaf68c54ed9dd79ce24d17', '31da1a042dc910775ed8b487afbdafd929a7afdeaadc660cb963bd26']",2020-04-04 23:46:00
Are you afraid of failing the tests? You shouldn't!,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-08-21 11:04:00
What is the capital city of France?,a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9,"['f193e8b0c6e8e436ed6fbff804917367733cddc04514d1865452f399', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9']",2020-08-09 16:36:00
ohh,af91525e3568e15041ccfa1a7e58f2a8eac837b3c89f400e3f8aea0a,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'ade9a4ab082f2af7d68a51e18478e9914852692b326bc550fcca9ad9', '958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba', 'af91525e3568e15041ccfa1a7e58f2a8eac837b3c89f400e3f8aea0a', '08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205']",2020-08-16 12:50:00
What's your name?,9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc,"['4cfca6da32da647198225460722b7ea1284f98c4b179e8dbae3f93d5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a', '9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '02314c59fc70bb1b1966d09aaaac689d8eae40c63bafb3f4cde3781d', 'f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84']",2020-07-23 12:19:00
surffing the web,9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc,"['9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', '2336fe9cc4353d58ceae17f820ccd0f79559be1e0c1c42e163fb0610', 'f6c43c243da7289c9ecdbf36cabf9c14d55afe6ef8904d9e6ec56945', 'bee2de186cefec1ef8c509c6affb20c84a0a5b724b3c909c9d88f63c', '08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205']",2020-05-23 22:44:00
You’ve been off,c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-07-06 20:39:00
